Jour;Mois;JourSemaine;Base;UIOLI;Equi;ReaSePrec;TSP;ReaVeille;TVE;Inconnues
0.232712766;0.727272727;0.166666667;0.687590996;0.65498511;0.372852119;0.744858123;0.638069705;0.76545997;0.533512064;0.689002501
0.234042553;0.727272727;0.333333333;0.694455396;0.65498511;0.418626008;0.749548461;0.55227882;0.689002501;0.563002681;0.70494267
0.23537234;0.727272727;0.5;0.603908528;0.65498511;0.453579311;0.725227964;0.493297587;0.70494267;0.514745308;0.598653491
0.236702128;0.727272727;0.666666667;0.628649985;0.65498511;0.372970742;0.702642534;0.493297587;0.598653491;0.530831099;0.631374021
0.238031915;0.727272727;0.833333333;0.679587582;0.65498511;0.466939987;0.701556954;0.55227882;0.631374021;0.568364611;0.690648473
0.239361702;0.727272727;1;0.721526259;0.658941152;0.467048123;0.765555577;0.651474531;0.690648473;0.522788204;0.731055673
0.240691489;0.727272727;0;0.738840682;0.674244147;0.490935999;0.76545997;0.533512064;0.731055673;0.517426273;0.755734964
0.242021277;0.727272727;0.166666667;0.709398206;0.858186575;0.465679211;0.689002501;0.563002681;0.755734964;0.514745308;0.741536766
0.243351064;0.818181818;0.333333333;0.720300845;0.679762378;0.542174211;0.70494267;0.514745308;0.741536766;0.522788204;0.739378466
0.244680851;0.818181818;0.5;0.739571107;0.692454074;0.44442001;0.598653491;0.530831099;0.739378466;0.544235925;0.750012711
0.246010638;0.818181818;0.666666667;0.700181;0.680680054;0.414581501;0.631374021;0.568364611;0.750012711;0.407506702;0.711938199
0.247340426;0.818181818;0.833333333;0.744795418;0.680985946;0.416412405;0.690648473;0.522788204;0.711938199;0.378016086;0.73131377
0.248670213;0.818181818;1;0.761388634;0.688633251;0.41188223;0.731055673;0.517426273;0.73131377;0.485254692;0.762284791
0.25;0.818181818;0;0.766224581;0.731855779;0.547359341;0.755734964;0.514745308;0.762284791;0.490616622;0.790498887
0.251329787;0.818181818;0.166666667;0.714091835;0.673578088;0.324780848;0.741536766;0.522788204;0.790498887;0.482573727;0.705680533
0.252659574;0.818181818;0.333333333;0.647879627;0.609145074;0.461490951;0.739378466;0.544235925;0.705680533;0.471849866;0.638922523
0.253989362;0.818181818;0.5;0.597563664;0.592524116;0.515334159;0.750012711;0.407506702;0.638922523;0.45308311;0.601992013
0.255319149;0.818181818;0.666666667;0.641803925;0.65498511;0.299887409;0.711938199;0.378016086;0.601992013;0.428954424;0.645742387
0.256648936;0.818181818;0.833333333;0.71845499;0.65498511;0.247227924;0.73131377;0.485254692;0.645742387;0.45308311;0.6858378
0.257978723;0.818181818;1;0.79881211;0.78852943;0.285253836;0.762284791;0.490616622;0.6858378;0.485254692;0.811527377
0.259308511;0.818181818;0;0.821429518;1;0.420142485;0.790498887;0.482573727;0.811527377;0.517426273;0.873242839
0.260638298;0.818181818;0.166666667;0.706300959;0.70498281;0.383216699;0.705680533;0.471849866;0.873242839;0.600536193;0.725440599
0.261968085;0.818181818;0.333333333;0.681015529;0.685574329;0.364816473;0.638922523;0.45308311;0.725440599;0.573726542;0.692311455
0.263297872;0.818181818;0.5;0.691468317;0.65498511;0.490083458;0.601992013;0.428954424;0.692311455;0.455764075;0.703354674
0.26462766;0.818181818;0.666666667;0.690558281;0.65498511;0.348765674;0.645742387;0.45308311;0.703354674;0.466487936;0.692272194
0.265957447;0.818181818;0.833333333;0.678197276;0.65498511;0.424624291;0.6858378;0.485254692;0.692272194;0.477211796;0.675815094
0.267287234;0.818181818;1;0.686530274;0.65498511;0.426474906;0.811527377;0.517426273;0.675815094;0.45308311;0.702134159
0.268617021;0.818181818;0;0.69454519;0.705690357;0.38986153;0.873242839;0.600536193;0.702134159;0.431635389;0.712067974
0.269946809;0.818181818;0.166666667;0.680730496;0.65498511;0.30530237;0.725440599;0.573726542;0.712067974;0.394101877;0.678149807
0.271276596;0.818181818;0.333333333;0.651726102;0.65498511;0.30942935;0.692311455;0.455764075;0.678149807;0.388739946;0.655748786
0.272606383;0.818181818;0.5;0.659707332;0.65498511;0.344169916;0.703354674;0.466487936;0.655748786;0.391420912;0.670349091
0.27393617;0.818181818;0.666666667;0.673781985;0.65498511;0.346161513;0.692272194;0.477211796;0.670349091;0.442359249;0.678722877
0.275265957;0.818181818;0.833333333;0.685575021;0.65498511;0.290755262;0.675815094;0.45308311;0.678722877;0.45308311;0.68240235
0.276595745;0.818181818;1;0.725583407;0.685212945;0.494948015;0.702134159;0.431635389;0.68240235;0.44772118;0.755444571
0.277925532;0.818181818;0;0.71829018;0.676741726;0.315567532;0.712067974;0.394101877;0.755444571;0.501340483;0.728862657
0.279255319;0.818181818;0.166666667;0.64024619;0.65498511;0.207929218;0.678149807;0.388739946;0.728862657;0.345844504;0.638773974
0.280585106;0.818181818;0.333333333;0.611661072;0.65498511;0.219126516;0.655748786;0.391420912;0.638773974;0.353887399;0.602612379
0.281914894;0.818181818;0.5;0.605074652;0.65498511;0.462742262;0.670349091;0.442359249;0.602612379;0.351206434;0.620981666
0.283244681;0.818181818;0.666666667;0.626264479;0.65498511;0.37418882;0.678722877;0.45308311;0.620981666;0.345844504;0.626445495
0.284574468;0.909090909;0.833333333;0.643839151;0.65498511;0.431741836;0.68240235;0.44772118;0.626445495;0.386058981;0.665343846
0.285904255;0.909090909;1;0.710252904;0.822766981;0.421953465;0.755444571;0.501340483;0.665343846;0.477211796;0.733326205
0.287234043;0.909090909;0;0.71562108;0.663906098;0.485373281;0.728862657;0.345844504;0.733326205;0.426273458;0.721527184
0.28856383;0.909090909;0.166666667;0.665419611;0.65498511;0.426211192;0.638773974;0.353887399;0.721527184;0.396782842;0.681330925
0.289893617;0.909090909;0.333333333;0.617311227;0.65498511;0.516188677;0.602612379;0.351206434;0.681330925;0.378016086;0.631884502
0.291223404;0.909090909;0.5;0.607815941;0.65498511;0.550889872;0.620981666;0.345844504;0.631884502;0.35924933;0.639788976
0.292553191;0.909090909;0.666666667;0.655388931;0.65498511;0.304249498;0.626445495;0.386058981;0.639788976;0.36461126;0.658796065
0.293882979;0.909090909;0.833333333;0.593983508;0.65498511;0.423512581;0.665343846;0.477211796;0.658796065;0.305630027;0.600235516
0.295212766;0.909090909;1;0.636696303;0.65498511;0.53445658;0.733326205;0.426273458;0.600235516;0.273458445;0.652319758
0.296542553;0.909090909;0;0.617999602;0.659172774;0.604053512;0.721527184;0.396782842;0.652319758;0.26541555;0.638939923
0.29787234;0.909090909;0.166666667;0.594214299;0.65498511;0.376838434;0.681330925;0.378016086;0.638939923;0.254691689;0.596412267
0.299202128;0.909090909;0.333333333;0.548557979;0.65498511;0.416284433;0.631884502;0.35924933;0.596412267;0.254691689;0.54881943
0.300531915;0.909090909;0.5;0.533272129;0.65498511;0.403934525;0.639788976;0.36461126;0.54881943;0.235924933;0.548299565
0.301861702;0.909090909;0.666666667;0.463474696;0.65498511;0.458361777;0.658796065;0.305630027;0.548299565;0.286863271;0.477133858
0.303191489;0.909090909;0.833333333;0.489691371;0.65498511;0.41472266;0.600235516;0.273458445;0.477133858;0.249329759;0.497596495
0.304521277;0.909090909;1;0.495682712;0.65498511;0.414919894;0.652319758;0.26541555;0.497596495;0.174262735;0.505672275
0.305851064;0.909090909;0;0.490595405;0.65498511;0.443767992;0.638939923;0.254691689;0.505672275;0.243967828;0.510794738
0.307180851;0.909090909;0.166666667;0.398808247;0.65498511;0.596095609;0.596412267;0.254691689;0.510794738;0.27077748;0.436583969
0.308510638;0.909090909;0.333333333;0.477799477;0.65498511;0.384288165;0.54881943;0.235924933;0.436583969;0.27613941;0.438306294
0.309840426;0.909090909;0.5;0.371191456;0.58804523;0.409528609;0.548299565;0.286863271;0.438306294;0.241286863;0.34956925
0.311170213;0.909090909;0.666666667;0.370447956;0.581570982;0.450204911;0.477133858;0.249329759;0.34956925;0.18230563;0.341815658
0.3125;0.909090909;0.833333333;0.40102853;0.608507222;0.41992845;0.497596495;0.174262735;0.341815658;0.27613941;0.420402961
0.313829787;0.909090909;1;0.583884373;0.684105609;0.525948721;0.505672275;0.243967828;0.420402961;0.335120643;0.615560266
0.315159574;0.909090909;0;0.591364818;0.755168693;0.509967187;0.510794738;0.27077748;0.615560266;0.343163539;0.617756436
0.316489362;0.909090909;0.166666667;0.542573623;0.760558125;0.512032431;0.436583969;0.27613941;0.617756436;0.337801609;0.563194246
0.317819149;0.909090909;0.333333333;0.570068;0.677187102;0.382619197;0.438306294;0.241286863;0.563194246;0.372654155;0.59335459
0.319148936;0.909090909;0.5;0.651938342;0.912736435;0.453928085;0.34956925;0.18230563;0.59335459;0.396782842;0.676071745
0.320478723;0.909090909;0.666666667;0.677360669;0.735083199;0.421140353;0.341815658;0.27613941;0.676071745;0.391420912;0.695277612
0.321808511;0.909090909;0.833333333;0.62306259;0.64108572;0.409350549;0.420402961;0.335120643;0.695277612;0.383378016;0.631445666
0.323138298;0.909090909;1;0.623670361;0.677481064;0.500363802;0.615560266;0.343163539;0.631445666;0.313672922;0.642294123
0.324468085;1;0;0.579355522;0.662759705;0.447731156;0.617756436;0.337801609;0.642294123;0.254691689;0.594914433
0.325797872;1;0.166666667;0.454364446;0.65498511;0.459537996;0.563194246;0.372654155;0.594914433;0.174262735;0.46955701
0.32712766;1;0.333333333;0.355392185;0.65498511;0.348671306;0.59335459;0.396782842;0.46955701;0.206434316;0.359586524
0.328457447;1;0.5;0.373274044;0.61563563;0.35654238;0.676071745;0.391420912;0.359586524;0.190348525;0.388375221
